sum_cleanup_funding,Cleanup Completion Date,avg_acres_cleaned,avg_acres_grn_created,ACRES Property ID,2010 # Below Poverty,2010 # Low Income,2010 # Unemployed,2010 # Vacant Housing,2010 % Below Poverty,2010 % Low Income,2010 % Unemployed,2010 % Vacant Housing,2010 Median Income,Cntmnt Clnd Up-Arsenic,Cntmnt Clnd Up-Asbestos,Cntmnt Clnd Up-Cadmium,Cntmnt Clnd Up-Chromium,Cntmnt Clnd Up-Copper,Cntmnt Clnd Up-Ctrl Sbstncs,Cntmnt Clnd Up-Iron,Cntmnt Clnd Up-Lead,Cntmnt Clnd Up-Mercury,Cntmnt Clnd Up-Nickel,Cntmnt Clnd Up-None,Cntmnt Clnd Up-Other,Cntmnt Clnd Up-Other (Descr),Cntmnt Clnd Up-Other Metals,Cntmnt Clnd Up-PAHs,Cntmnt Clnd Up-PCBs,Cntmnt Clnd Up-Pesticides,Cntmnt Clnd Up-Petroleum,Cntmnt Clnd Up-SVOCs,Cntmnt Clnd Up-Selenium,Cntmnt Clnd Up-Unknown,Cntmnt Clnd Up-VOCs,Cntmnt Fnd-Arsenic,Cntmnt Fnd-Asbestos,Cntmnt Fnd-Cadmium,Cntmnt Fnd-Chromium,Cntmnt Fnd-Copper,Cntmnt Fnd-Ctrl Sbstncs,Cntmnt Fnd-Iron,Cntmnt Fnd-Lead,Cntmnt Fnd-Mercury,Cntmnt Fnd-Nickel,Cntmnt Fnd-None,Cntmnt Fnd-Other,Cntmnt Fnd-Other Metals,Cntmnt Fnd-PAHs,Cntmnt Fnd-PCBs,Cntmnt Fnd-Pesticides,Cntmnt Fnd-Petroleum,Cntmnt Fnd-SVOCs,Cntmnt Fnd-Selenium,Cntmnt Fnd-Unknown,Cntmnt Fnd-VOCs,Did Ownership Change,EPA Region,IC Catgry-Enfrcmnt/Prmt Tools,IC Catgry-Govmntal Ctrls,IC Catgry-Informational Dev,IC Catgry-Proprietary Ctrls,ICs in Place?,Institutional Ctrl (ICs) Req?,Media Affected-Air,Media Affected-Bldg Materials,Media Affected-Drnking Water,Media Affected-Ground Water,Media Affected-Indoor Air,Media Affected-Sediments,Media Affected-Soil,Media Affected-Surface Water,Media Affected-Unknown,Media Clnd Up-Air,Media Clnd Up-Bldg Materials,Media Clnd Up-Drnking Water,Media Clnd Up-Ground Water,Media Clnd Up-Indoor Air,Media Clnd Up-Sediments,Media Clnd Up-Soil,Media Clnd Up-Surface Water,Media Clnd Up-Unknown,Other Media Ind,Ownership Entity,Past Use: Commercial (arces),Past Use: Greenspace (arces),Past Use: Industrial (arces),Past Use: Multistory (arces),Past Use: Residential (arces),Photographs are available,Property Size,Radius,Ready For Reuse Ind,SFLLP fact into the ownership
580000,12/31/2003,3.97,,10004,3004,5847,820,830,28.97,56.38,7.91,15.71,6216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,0.5,N,
200000,08/15/2008,0.75,,10060,72,378,22,171,6.75,35.43,2.06,25.06,3823,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,Y,,,,,Y,,,,N,1,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,,,,,Government,,,3.5,,,,3.5,0.5,Y,
176764,05/02/2012,0.61,,10092,148,516,45,133,10.4,36.26,3.16,14.95,1288,Y,Y,,,,,,Y,Y,,,,,Y,Y,,,,,,,,Y,Y,,,,,,Y,Y,,,,Y,Y,Y,,,,,,,Y,1,,,Y,,N,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,Private,,,1.22,,,Y,1.22,0.5,N,Y
271325,09/18/2007,7.7,,10098,356,491,98,4,42.18,58.18,11.61,1.31,4521,,,,,,,,,,,,Y,Toluene,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,1,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Private,,,7.7,,,Y,7.7,0.5,Y,
91320.72,09/18/2009,3.9,,10564,89,343,43,49,7.95,30.63,3.84,10.14,1477,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,Y,N,5,,Y,Y,,N,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,3.9,,,Y,3.9,0.5,N,
36158,04/08/2005,0.4,,11116,63,193,19,25,14.93,45.73,4.5,12.84,1292,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,N,7,,,,,U,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,0.23,0.5,Y,
8200,10/25/2004,0.8,0.8,11202,16,28,2,11,21.33,37.33,2.67,26.89,520,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,U,N,Y,,,,,,,,,Y,,,,,,,,,,Government,,,,,,N,0.8,0.5,Y,
17260,02/10/2005,0.26,,11205,293,823,51,132,13.58,38.14,2.36,11.86,7280,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,U,N,Y,,,,,,,,,Y,,,,,,,,,,Government,,,,,,N,0.26,0.5,Y,
142994,10/14/2011,0.12,,11225,437,985,131,87,24.26,54.69,7.27,11.02,621,,Y,,,,,,Y,,,,,,Y,Y,,,Y,,,,,,Y,,,,,,Y,,,,,Y,Y,,,Y,,,,,Y,9,,,,,,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,11.9,,,Y,11.9,0.5,Y,Y
200000,02/08/2012,0.92,,11523,2141,3515,418,327,47.64,78.22,9.3,14.04,979,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,N,1,,Y,Y,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,0.92,,,Y,0.92,0.5,Y,
1062500,05/22/2014,10.8,,11673,1484,3407,508,205,23.33,53.56,7.99,9.05,8466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,Private,,,10.8,,,N,10.8,0.5,N,
124029,07/10/2015,0.05,,11840,593,1358,342,188,22.39,51.26,12.91,14.81,13336,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,Y,,,,Y,Y,2,,,Y,,N,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,0.88,,,,3.57,Y,4.45,0.5,N,Y
60600,06/01/2007,2,87,12061,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,N,5,,,,,U,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,87,,,,Y,87,0.5,Y,
