Features,ModelMetric
Media Affected-Soil,0.11593894033111565
Media Clnd Up-Soil,0.11209463451775795
Cntmnt Fnd-Asbestos,0.10991826195992581
Media Affected-Bldg Materials,0.07396673102684796
Cntmnt Fnd-Lead,0.06883317717067093
Cntmnt Fnd-Petroleum,0.05808319494330892
Cntmnt Clnd Up-Asbestos,0.04671449175023468
Cntmnt Fnd-PAHs,0.03414700262627825
Media Affected-Ground Water,0.03223214078619067
Cntmnt Fnd-VOCs,0.02976482841593821
Media Clnd Up-Bldg Materials,0.02959441611116005
Cntmnt Clnd Up-Petroleum,0.02839604543196873
Cntmnt Clnd Up-Lead,0.02807826835922205
Cntmnt Fnd-PCBs,0.02606704735710392
Cntmnt Fnd-Other,0.02411251739170268
Media Affected-Air,0.013549389932485225
Cntmnt Fnd-Other Metals,0.012914909140303906
Cntmnt Clnd Up-PAHs,0.012023079499029539
Cntmnt Fnd-Arsenic,0.010612907754188883
Cntmnt Clnd Up-VOCs,0.010230018690805979
Cntmnt Clnd Up-Other Metals,0.00920173425051925
Cntmnt Fnd-Chromium,0.009197304811678918
Cntmnt Fnd-Mercury,0.008654950680473126
Cntmnt Fnd-SVOCs,0.008516738439242118
Cntmnt Fnd-Cadmium,0.00753057385694651
Media Affected-Sediments,0.007452585230531184
Media Affected-Surface Water,0.00733909884170136
Cntmnt Fnd-None,0.007063334274716239
Cntmnt Fnd-Selenium,0.006699267073406426
Cntmnt Clnd Up-Other,0.005412895537897333
Media Clnd Up-Ground Water,0.005250615396609251
Media Affected-Indoor Air,0.005210965763718103
Cntmnt Fnd-Ctrl Sbstncs,0.0046959434354137035
Cntmnt Fnd-Pesticides,0.004519757814971563
Cntmnt Fnd-Copper,0.003939601262886717
Media Affected-Unknown,0.0034307848204519534
Cntmnt Fnd-Iron,0.0034268037943030794
Cntmnt Fnd-Nickel,0.002967638576838992
Cntmnt Clnd Up-PCBs,0.0022669957549412392
Media Clnd Up-Air,0.002013999020217682
Media Affected-Drnking Water,0.0014790896302617196
Cntmnt Clnd Up-SVOCs,0.0012580889967529906
Cntmnt Clnd Up-Arsenic,0.0010230020908984856
Cntmnt Fnd-Unknown,0.0007703877463662161
Media Clnd Up-Surface Water,0.000677969898937369
Media Clnd Up-Sediments,0.0006719805896115826
Media Clnd Up-Indoor Air,0.0005433223438994016
Cntmnt Clnd Up-Mercury,0.0005035593403866115
Cntmnt Clnd Up-Ctrl Sbstncs,0.0002552979725504496
Cntmnt Clnd Up-Chromium,0.0002460413285785277
Cntmnt Clnd Up-Copper,0.0002137148132927037
Cntmnt Clnd Up-Pesticides,8.664070276461545e-05
Media Clnd Up-Drnking Water,6.663333635724887e-05
Cntmnt Clnd Up-Nickel,2.594946941543206e-05
Cntmnt Clnd Up-None,2.554048076757865e-05
Cntmnt Clnd Up-Selenium,2.475216001962645e-05
Media Clnd Up-Unknown,2.3083423386809003e-05
Cntmnt Clnd Up-Cadmium,1.681418016132142e-05
Cntmnt Clnd Up-Unknown,1.5381599235461294e-05
Cntmnt Clnd Up-Iron,9.158062651152786e-06
Cntmnt Clnd Up-Other (Descr),0.0
Cntmnt Fnd-Other (Descr),0.0
